Experiment	LibraryLayout	Platform	Run	R1	R2
SRX2012768	SINGLE	ILLUMINA	SRR4019242		
SRX272832	PAIRED	ILLUMINA	SRR836135		
SRX272833	PAIRED	ILLUMINA	SRR836136		
SRX272834	PAIRED	ILLUMINA	SRR836137		
SRX272835	PAIRED	ILLUMINA	SRR836138		
SRX3721462	SINGLE	ILLUMINA	SRR6748798		
SRX3721463	SINGLE	ILLUMINA	SRR6748799		
SRX3721464	SINGLE	ILLUMINA	SRR6748800		
SRX3721465	SINGLE	ILLUMINA	SRR6748801		
SRX801088	PAIRED	ILLUMINA	SRR1698422		
SRX801089	PAIRED	ILLUMINA	SRR1698423		
SRX801090	PAIRED	ILLUMINA	SRR1698424		
SRX801091	PAIRED	ILLUMINA	SRR1698425		
SRX801092	PAIRED	ILLUMINA	SRR1698426		
SRX801093	PAIRED	ILLUMINA	SRR1698427		
SRX2080288	SINGLE	ILLUMINA	SRR4112310		
SRX2080289	SINGLE	ILLUMINA	SRR4112311		
SRX2080290	SINGLE	ILLUMINA	SRR4112312		
SRX2080291	SINGLE	ILLUMINA	SRR4112313		
SRX2080292	SINGLE	ILLUMINA	SRR4112314		
SRX2080293	SINGLE	ILLUMINA	SRR4112315		
SRX9413161	SINGLE	ILLUMINA	SRR12960388		
SRX9413160	SINGLE	ILLUMINA	SRR12960389		
SRX9413159	SINGLE	ILLUMINA	SRR12960390		
SRX9413149	SINGLE	ILLUMINA	SRR12960400		
SRX9413148	SINGLE	ILLUMINA	SRR12960401		
SRX9413147	SINGLE	ILLUMINA	SRR12960402		
SRX9413146	SINGLE	ILLUMINA	SRR12960403		
SRX9413142	SINGLE	ILLUMINA	SRR12960407		
SRX9413141	SINGLE	ILLUMINA	SRR12960408		
SRX9413140	SINGLE	ILLUMINA	SRR12960409		
SRX9413137	SINGLE	ILLUMINA	SRR12960412		
SRX9413136	SINGLE	ILLUMINA	SRR12960413		
SRX14436235	SINGLE	ILLUMINA	SRR18298640		
SRX14436234	SINGLE	ILLUMINA	SRR18298641		
SRX14436233	SINGLE	ILLUMINA	SRR18298642		
SRX14436232	SINGLE	ILLUMINA	SRR18298643		
SRX14436231	SINGLE	ILLUMINA	SRR18298644		
SRX14436230	SINGLE	ILLUMINA	SRR18298645		
SRX14436229	SINGLE	ILLUMINA	SRR18298646		
SRX14436228	SINGLE	ILLUMINA	SRR18298647		
SRX14436227	SINGLE	ILLUMINA	SRR18298648		
SRX14436226	SINGLE	ILLUMINA	SRR18298649		
SRX14436225	SINGLE	ILLUMINA	SRR18298650		
SRX14436224	SINGLE	ILLUMINA	SRR18298651		
SRX14436223	SINGLE	ILLUMINA	SRR18298652		
SRX14436222	SINGLE	ILLUMINA	SRR18298653		
SRX14436221	SINGLE	ILLUMINA	SRR18298654		
SRX14436220	SINGLE	ILLUMINA	SRR18298655		
SRX14436219	SINGLE	ILLUMINA	SRR18298656		
SRX14436218	SINGLE	ILLUMINA	SRR18298657		
SRX14436217	SINGLE	ILLUMINA	SRR18298658		
SRX14436216	SINGLE	ILLUMINA	SRR18298659		
SRX14436215	SINGLE	ILLUMINA	SRR18298660		
SRX14436214	SINGLE	ILLUMINA	SRR18298661		
SRX14436213	SINGLE	ILLUMINA	SRR18298662		
SRX14436212	SINGLE	ILLUMINA	SRR18298663		
SRX14436211	SINGLE	ILLUMINA	SRR18298664		
SRX14436210	SINGLE	ILLUMINA	SRR18298665		
SRX14436209	SINGLE	ILLUMINA	SRR18298666		
SRX14436208	SINGLE	ILLUMINA	SRR18298667		
SRX14436207	SINGLE	ILLUMINA	SRR18298668		
SRX14436206	SINGLE	ILLUMINA	SRR18298669		
SRX14436205	SINGLE	ILLUMINA	SRR18298670		
SRX14436204	SINGLE	ILLUMINA	SRR18298671		
SRX14436203	SINGLE	ILLUMINA	SRR18298672		
SRX14436202	SINGLE	ILLUMINA	SRR18298673		
SRX14436201	SINGLE	ILLUMINA	SRR18298674		
SRX14436200	SINGLE	ILLUMINA	SRR18298675		
SRX14436199	SINGLE	ILLUMINA	SRR18298676		
SRX14436198	SINGLE	ILLUMINA	SRR18298677		
SRX14436197	SINGLE	ILLUMINA	SRR18298678		
SRX14436196	SINGLE	ILLUMINA	SRR18298679		
SRX14436195	SINGLE	ILLUMINA	SRR18298680		
SRX14436194	SINGLE	ILLUMINA	SRR18298681		
SRX14436193	SINGLE	ILLUMINA	SRR18298682		
SRX14436192	SINGLE	ILLUMINA	SRR18298683		
SRX14436191	SINGLE	ILLUMINA	SRR18298684		
SRX14436190	SINGLE	ILLUMINA	SRR18298685		
SRX14436189	SINGLE	ILLUMINA	SRR18298686		
SRX14436188	SINGLE	ILLUMINA	SRR18298687		
SRX14436187	SINGLE	ILLUMINA	SRR18298688		
SRX14436186	SINGLE	ILLUMINA	SRR18298689		
SRX14436185	SINGLE	ILLUMINA	SRR18298690		
SRX14436184	SINGLE	ILLUMINA	SRR18298691		
SRX14436183	SINGLE	ILLUMINA	SRR18298692		
SRX14436182	SINGLE	ILLUMINA	SRR18298693		
SRX14436181	SINGLE	ILLUMINA	SRR18298694		
SRX14436180	SINGLE	ILLUMINA	SRR18298695		
SRX14436179	SINGLE	ILLUMINA	SRR18298696		
SRX14436178	SINGLE	ILLUMINA	SRR18298697		
SRX14436177	SINGLE	ILLUMINA	SRR18298698		
SRX14436176	SINGLE	ILLUMINA	SRR18298699		
SRX14436175	SINGLE	ILLUMINA	SRR18298700		
SRX14436174	SINGLE	ILLUMINA	SRR18298701		
SRX14436173	SINGLE	ILLUMINA	SRR18298702		
SRX14436172	SINGLE	ILLUMINA	SRR18298703		
SRX14436171	SINGLE	ILLUMINA	SRR18298704		
SRX14436170	SINGLE	ILLUMINA	SRR18298705		
SRX14436169	SINGLE	ILLUMINA	SRR18298706		
SRX14436168	SINGLE	ILLUMINA	SRR18298707		
SRX14436167	SINGLE	ILLUMINA	SRR18298708		
SRX14436166	SINGLE	ILLUMINA	SRR18298709		
SRX14436165	SINGLE	ILLUMINA	SRR18298710		
SRX14436164	SINGLE	ILLUMINA	SRR18298711		
SRX14436163	SINGLE	ILLUMINA	SRR18298712		
SRX14436162	SINGLE	ILLUMINA	SRR18298713		
SRX14436161	SINGLE	ILLUMINA	SRR18298714		
SRX14436160	SINGLE	ILLUMINA	SRR18298715		
SRX14436159	SINGLE	ILLUMINA	SRR18298716		
SRX14436158	SINGLE	ILLUMINA	SRR18298717		
SRX14436157	SINGLE	ILLUMINA	SRR18298718		
SRX14436156	SINGLE	ILLUMINA	SRR18298719		
SRX14436155	SINGLE	ILLUMINA	SRR18298720		
SRX14475677	SINGLE	ILLUMINA	SRR18339587		
SRX14475676	SINGLE	ILLUMINA	SRR18339588		
SRX14475675	SINGLE	ILLUMINA	SRR18339589		
SRX14475674	SINGLE	ILLUMINA	SRR18339590		
SRX14475673	SINGLE	ILLUMINA	SRR18339591		
SRX14475672	SINGLE	ILLUMINA	SRR18339592		
SRX14475671	SINGLE	ILLUMINA	SRR18339593		
SRX14475670	SINGLE	ILLUMINA	SRR18339594		
SRX14475669	SINGLE	ILLUMINA	SRR18339595		
SRX28066493	PAIRED	ILLUMINA	SRR32782259		
SRX28066492	PAIRED	ILLUMINA	SRR32782260		
SRX28066491	PAIRED	ILLUMINA	SRR32782261		
SRX33322070	PAIRED	ILLUMINA	SRR38514188		
SRX33322069	PAIRED	ILLUMINA	SRR38514189		
SRX33322068	PAIRED	ILLUMINA	SRR38514190		
SRX33322067	PAIRED	ILLUMINA	SRR38514191		
SRX33322066	PAIRED	ILLUMINA	SRR38514192		
SRX33322065	PAIRED	ILLUMINA	SRR38514193		
SRX25291486	PAIRED	ILLUMINA	SRR29792126		
SRX25291485	PAIRED	ILLUMINA	SRR29792127		
SRX25291484	PAIRED	ILLUMINA	SRR29792128		
SRX25291483	PAIRED	ILLUMINA	SRR29792129		
SRX25291482	PAIRED	ILLUMINA	SRR29792130		
SRX25291481	PAIRED	ILLUMINA	SRR29792131		
SRX25291480	PAIRED	ILLUMINA	SRR29792132		
SRX25291479	PAIRED	ILLUMINA	SRR29792133		
SRX25291478	PAIRED	ILLUMINA	SRR29792134		
SRX25291477	PAIRED	ILLUMINA	SRR29792135		
SRX25291476	PAIRED	ILLUMINA	SRR29792136		
SRX25291475	PAIRED	ILLUMINA	SRR29792137		
SRX25291474	PAIRED	ILLUMINA	SRR29792138		
SRX25291473	PAIRED	ILLUMINA	SRR29792139		
SRX25291472	PAIRED	ILLUMINA	SRR29792140		
SRX25291471	PAIRED	ILLUMINA	SRR29792141		
SRX25291470	PAIRED	ILLUMINA	SRR29792142		
SRX25291467	PAIRED	ILLUMINA	SRR29792145		
SRX25291466	PAIRED	ILLUMINA	SRR29792146		
SRX25291465	PAIRED	ILLUMINA	SRR29792147		
SRX25291464	PAIRED	ILLUMINA	SRR29792148		
SRX26714368	PAIRED	ILLUMINA	SRR31337012		
SRX26714367	PAIRED	ILLUMINA	SRR31337013		
SRX26714366	PAIRED	ILLUMINA	SRR31337014		
SRX26714365	PAIRED	ILLUMINA	SRR31337015		
SRX26714364	PAIRED	ILLUMINA	SRR31337016		
SRX26714363	PAIRED	ILLUMINA	SRR31337017		
SRX26714557	PAIRED	ILLUMINA	SRR31337282		
SRX26714556	PAIRED	ILLUMINA	SRR31337283		
SRX26714555	PAIRED	ILLUMINA	SRR31337284		
SRX26714554	PAIRED	ILLUMINA	SRR31337285		
SRX26714553	PAIRED	ILLUMINA	SRR31337286		
SRX26714552	PAIRED	ILLUMINA	SRR31337287		
SRX26664065	PAIRED	ILLUMINA	SRR31285062		
SRX26664064	PAIRED	ILLUMINA	SRR31285063		
SRX26664063	PAIRED	ILLUMINA	SRR31285064		
SRX26664062	PAIRED	ILLUMINA	SRR31285065		
SRX26664061	PAIRED	ILLUMINA	SRR31285066		
SRX26664060	PAIRED	ILLUMINA	SRR31285067		
DRS047711	SINGLE	ILLUMINA	DRR093244		
DRS047714	SINGLE	ILLUMINA	DRR093247		
DRS047715	SINGLE	ILLUMINA	DRR093248		
DRS047716	SINGLE	ILLUMINA	DRR093249		
DRS047717	SINGLE	ILLUMINA	DRR093250		
DRS047718	SINGLE	ILLUMINA	DRR093251		
DRS047687	SINGLE	ILLUMINA	DRR093260		
DRS047688	SINGLE	ILLUMINA	DRR093261		
DRS047689	SINGLE	ILLUMINA	DRR093262		
DRS047690	SINGLE	ILLUMINA	DRR093263		
DRS047691	SINGLE	ILLUMINA	DRR093264		
DRS047692	SINGLE	ILLUMINA	DRR093265		
DRS047693	SINGLE	ILLUMINA	DRR093266		
DRS047694	SINGLE	ILLUMINA	DRR093267		
DRS047695	SINGLE	ILLUMINA	DRR093268		
DRS047696	SINGLE	ILLUMINA	DRR093269		
DRS047697	SINGLE	ILLUMINA	DRR093270		
DRS047698	SINGLE	ILLUMINA	DRR093271		
DRS047699	SINGLE	ILLUMINA	DRR093272		
DRS047700	SINGLE	ILLUMINA	DRR093273		
DRS047701	SINGLE	ILLUMINA	DRR093274		
DRS047702	SINGLE	ILLUMINA	DRR093275		
DRS047704	SINGLE	ILLUMINA	DRR093277		
DRS047705	SINGLE	ILLUMINA	DRR093278		
SRS3669689	SINGLE	ILLUMINA	SRR7693534;SRR7693535		
SRS3669690	SINGLE	ILLUMINA	SRR7693536;SRR7693537		
SRS3669691	SINGLE	ILLUMINA	SRR7693538;SRR7693539		
SRS3669692	SINGLE	ILLUMINA	SRR7693540;SRR7693541		
SRS3669693	SINGLE	ILLUMINA	SRR7693542;SRR7693543		
SRS3669694	SINGLE	ILLUMINA	SRR7693544;SRR7693545		
SRS3669695	SINGLE	ILLUMINA	SRR7693546;SRR7693547		
SRS3669697	SINGLE	ILLUMINA	SRR7693550;SRR7693551		
SRS3669698	SINGLE	ILLUMINA	SRR7693552;SRR7693553		
SRS3669699	SINGLE	ILLUMINA	SRR7693554;SRR7693555		
SRS3669700	SINGLE	ILLUMINA	SRR7693556;SRR7693557		
SRS4675900	PAIRED	ILLUMINA	SRR8959870		
SRS4675902	PAIRED	ILLUMINA	SRR8959868		
SRS4675903	PAIRED	ILLUMINA	SRR8959867
