Experiment	LibraryLayout	Platform	Run	R1	R2
SRX32368482	PAIRED	ELEMENT	SRR37461507		
SRX32368481	PAIRED	ELEMENT	SRR37461508		
SRX32368480	PAIRED	ELEMENT	SRR37461509		
SRX32368479	PAIRED	ELEMENT	SRR37461510		
SRX32368478	PAIRED	ELEMENT	SRR37461511		
SRX18711704	PAIRED	ILLUMINA	SRR22750611		
SRX18711703	PAIRED	ILLUMINA	SRR22750612		
SRX18711702	PAIRED	ILLUMINA	SRR22750613		
SRX18711701	PAIRED	ILLUMINA	SRR22750614		
SRX18711700	PAIRED	ILLUMINA	SRR22750615		
SRX18711699	PAIRED	ILLUMINA	SRR22750616		
SRX18711698	PAIRED	ILLUMINA	SRR22750617		
SRX18711697	PAIRED	ILLUMINA	SRR22750618		
SRX18711696	PAIRED	ILLUMINA	SRR22750619		
SRX18711695	PAIRED	ILLUMINA	SRR22750620		
SRX18711694	PAIRED	ILLUMINA	SRR22750621		
SRX18711693	PAIRED	ILLUMINA	SRR22750622		
ERX10140567	PAIRED	ILLUMINA	ERR10671820		
ERX10140567	PAIRED	ILLUMINA	ERR10671821		
ERX10140567	PAIRED	ILLUMINA	ERR10671822		
ERX10140567	PAIRED	ILLUMINA	ERR10671823		
ERX10140568	PAIRED	ILLUMINA	ERR10671824		
ERX10140568	PAIRED	ILLUMINA	ERR10671825		
ERX10140568	PAIRED	ILLUMINA	ERR10671826		
ERX10140568	PAIRED	ILLUMINA	ERR10671827		
ERX10140569	PAIRED	ILLUMINA	ERR10671828		
ERX10140569	PAIRED	ILLUMINA	ERR10671829		
ERX10140569	PAIRED	ILLUMINA	ERR10671830		
ERX10140569	PAIRED	ILLUMINA	ERR10671831		
ERX10140570	PAIRED	ILLUMINA	ERR10671832		
ERX10140570	PAIRED	ILLUMINA	ERR10671833		
ERX10140570	PAIRED	ILLUMINA	ERR10671834		
ERX10140570	PAIRED	ILLUMINA	ERR10671835		
ERX10140571	PAIRED	ILLUMINA	ERR10671836		
ERX10140571	PAIRED	ILLUMINA	ERR10671837		
ERX10140571	PAIRED	ILLUMINA	ERR10671838		
ERX10140571	PAIRED	ILLUMINA	ERR10671839		
ERX10140572	PAIRED	ILLUMINA	ERR10671840		
ERX10140572	PAIRED	ILLUMINA	ERR10671841		
ERX10140572	PAIRED	ILLUMINA	ERR10671842		
ERX10140572	PAIRED	ILLUMINA	ERR10671843		
ERX10140573	PAIRED	ILLUMINA	ERR10671844		
ERX10140573	PAIRED	ILLUMINA	ERR10671845		
ERX10140573	PAIRED	ILLUMINA	ERR10671846		
ERX10140573	PAIRED	ILLUMINA	ERR10671847		
ERX10140574	PAIRED	ILLUMINA	ERR10671848		
ERX10140574	PAIRED	ILLUMINA	ERR10671849		
ERX10140574	PAIRED	ILLUMINA	ERR10671850		
ERX10140574	PAIRED	ILLUMINA	ERR10671851		
ERX10140575	PAIRED	ILLUMINA	ERR10671852		
ERX10140575	PAIRED	ILLUMINA	ERR10671853		
ERX10140575	PAIRED	ILLUMINA	ERR10671854		
ERX10140575	PAIRED	ILLUMINA	ERR10671855		
ERX10140576	PAIRED	ILLUMINA	ERR10671856		
ERX10140576	PAIRED	ILLUMINA	ERR10671857		
ERX10140576	PAIRED	ILLUMINA	ERR10671858		
ERX10140576	PAIRED	ILLUMINA	ERR10671859		
ERX10140577	PAIRED	ILLUMINA	ERR10671860		
ERX10140577	PAIRED	ILLUMINA	ERR10671861		
ERX10140577	PAIRED	ILLUMINA	ERR10671862		
ERX10140577	PAIRED	ILLUMINA	ERR10671863		
ERX10140578	PAIRED	ILLUMINA	ERR10671864		
ERX10140578	PAIRED	ILLUMINA	ERR10671865		
ERX10140578	PAIRED	ILLUMINA	ERR10671866		
ERX10140578	PAIRED	ILLUMINA	ERR10671867		
SRX23151902	PAIRED	ILLUMINA	SRR27480532		
SRX23151901	PAIRED	ILLUMINA	SRR27480533		
SRX23151900	PAIRED	ILLUMINA	SRR27480534		
SRX23151899	PAIRED	ILLUMINA	SRR27480535		
SRX23151896	PAIRED	ILLUMINA	SRR27480538		
SRX23151895	PAIRED	ILLUMINA	SRR27480539		
SRX23151894	PAIRED	ILLUMINA	SRR27480540		
SRX23151893	PAIRED	ILLUMINA	SRR27480541		
SRX23151892	PAIRED	ILLUMINA	SRR27480542		
SRX23151891	PAIRED	ILLUMINA	SRR27480543		
SRX23151890	PAIRED	ILLUMINA	SRR27480544		
SRX23151888	PAIRED	ILLUMINA	SRR27480546		
SRX23151887	PAIRED	ILLUMINA	SRR27480547		
SRX23151886	PAIRED	ILLUMINA	SRR27480548		
SRX23151885	PAIRED	ILLUMINA	SRR27480549		
SRX23151884	PAIRED	ILLUMINA	SRR27480550		
SRX23151882	PAIRED	ILLUMINA	SRR27480552		
SRX23151881	PAIRED	ILLUMINA	SRR27480553		
SRX23151880	PAIRED	ILLUMINA	SRR27480554		
SRX23151879	PAIRED	ILLUMINA	SRR27480555		
SRX23151878	PAIRED	ILLUMINA	SRR27480556		
SRX23151876	PAIRED	ILLUMINA	SRR27480558		
SRX23151875	PAIRED	ILLUMINA	SRR27480559		
SRX23151874	PAIRED	ILLUMINA	SRR27480560		
SRX27600443	PAIRED	ILLUMINA	SRR32263050		
SRX27600442	PAIRED	ILLUMINA	SRR32263051		
SRX27600441	PAIRED	ILLUMINA	SRR32263052		
SRX27600440	PAIRED	ILLUMINA	SRR32263053		
SRX27600439	PAIRED	ILLUMINA	SRR32263054		
SRX27600438	PAIRED	ILLUMINA	SRR32263055		
SRX24968715	PAIRED	ILLUMINA	SRR29456596		
SRX24968717	PAIRED	ILLUMINA	SRR29456594		
SRX24968716	PAIRED	ILLUMINA	SRR29456595		
SRX13731887	PAIRED	ILLUMINA	SRR17562623		
SRX13731886	PAIRED	ILLUMINA	SRR17562624		
SRX13731885	PAIRED	ILLUMINA	SRR17562625		
SRX13731884	PAIRED	ILLUMINA	SRR17562626		
SRX13731883	PAIRED	ILLUMINA	SRR17562627		
SRX13731882	PAIRED	ILLUMINA	SRR17562628		
SRX13731881	PAIRED	ILLUMINA	SRR17562629		
SRX13731880	PAIRED	ILLUMINA	SRR17562630		
SRX13731879	PAIRED	ILLUMINA	SRR17562631		
SRX13731878	PAIRED	ILLUMINA	SRR17562632		
SRX13731877	PAIRED	ILLUMINA	SRR17562633		
SRX13731876	PAIRED	ILLUMINA	SRR17562634		
SRX13731875	PAIRED	ILLUMINA	SRR17562635		
SRX13731874	PAIRED	ILLUMINA	SRR17562636		
SRX13731873	PAIRED	ILLUMINA	SRR17562637		
SRX13731872	PAIRED	ILLUMINA	SRR17562638		
SRX13731871	PAIRED	ILLUMINA	SRR17562639		
SRX13731870	PAIRED	ILLUMINA	SRR17562640		
SRX13731869	PAIRED	ILLUMINA	SRR17562641		
SRX13731868	PAIRED	ILLUMINA	SRR17562642		
SRX13731867	PAIRED	ILLUMINA	SRR17562643		
SRX13731866	PAIRED	ILLUMINA	SRR17562644		
SRX8245718	PAIRED	ILLUMINA	SRR11684953		
SRX8245719	PAIRED	ILLUMINA	SRR11684954		
SRX8245720	PAIRED	ILLUMINA	SRR11684955		
